         8418060 function calls (8265897 primitive calls) in 298.835 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13282    0.023    0.000    0.135    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:219(_to_string)
      610    0.001    0.000    0.132    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\errors.py:198(__init__)
      610    0.002    0.000    0.131    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\initialise.py:23(init)
     1220    0.005    0.000    0.129    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\initialise.py:74(wrap_stream)
     1220    0.007    0.000    0.125    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:73(__init__)
      518    0.000    0.000    0.123    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\errors.py:290(errmsg)
       39    0.000    0.000    0.116    0.003 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:211(add_llvm_module)
       46    0.001    0.000    0.115    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:562(lower_binop)
1645/1019    0.002    0.000    0.111    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\utils.py:346(__get__)
      144    0.001    0.000    0.103    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:684(__call__)
    10000    0.101    0.000    0.101    0.000 C:\Users\migue\OneDrive\Escritorio\Materia-Activa\Códigos Materia Activa\simulation.py:177(boundary_and_expand)
   902749    0.099    0.000    0.099    0.000 {built-in method unicodedata.east_asian_width}
  111/106    0.000    0.000    0.092    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:1163(__call__)
  107/105    0.000    0.000    0.086    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:1192(wrapper)
      276    0.001    0.000    0.085    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\errors.py:473(__init__)
    12859    0.024    0.000    0.082    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:13(__init__)
     1089    0.004    0.000    0.080    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\context.py:197(_call_incref_decref)
      376    0.001    0.000    0.079    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:1262(storevar)
       21    0.001    0.000    0.077    0.004 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:25(_remove_redundant_nrt_refct)
54745/10163    0.054    0.000    0.076    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:313(_rec_list_vars)
       13    0.000    0.000    0.075    0.006 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:332(numpy_ufunc_kernel)
      345    0.001    0.000    0.073    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\context.py:360(resolve_value_type)
       40    0.002    0.000    0.071    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\core\rewrites\registry.py:54(apply)
      364    0.002    0.000    0.069    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\typeof.py:23(typeof)
    16503    0.014    0.000    0.069    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:212(__init__)
3462/1089    0.009    0.000    0.069    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\context.py:180(get_meminfos)
      220    0.000    0.000    0.069    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\postproc.py:41(usedefs)
      220    0.012    0.000    0.069    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\analysis.py:23(compute_use_defs)
4939/4820    0.003    0.000    0.068    0.000 {built-in method builtins.any}
     8154    0.003    0.000    0.067    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:346(list_vars)
     1220    0.006    0.000    0.067    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\win32.py:98(winapi_test)
18432/16068    0.007    0.000    0.067    0.000 {built-in method builtins.next}
       10    0.000    0.000    0.060    0.006 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:246(create_cfunc_wrapper)
       10    0.000    0.000    0.060    0.006 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cpu.py:164(create_cfunc_wrapper)
      807    0.001    0.000    0.060    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\context.py:220(decref)
     2440    0.003    0.000    0.060    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\win32.py:99(<genexpr>)
       69    0.001    0.000    0.059    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:47(_process_function)
       39    0.001    0.000    0.058    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:127(_optimize_functions)
   410098    0.046    0.000    0.058    0.000 {built-in method builtins.isinstance}
      283    0.001    0.000    0.058    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\types\misc.py:56(literal)
     1220    0.057    0.000    0.057    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\win32.py:92(_winapi_test)
    10003    0.055    0.000    0.055    0.000 {built-in method numpy.zeros}
    16988    0.012    0.000    0.054    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\values.py:232(_set_name)
      745    0.001    0.000    0.050    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:1325(decref)
      196    0.001    0.000    0.049    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:1332(_lit_or_omitted)
4743/3561    0.003    0.000    0.048    0.000 C:\Users\migue\anaconda3\lib\contextlib.py:108(__enter__)
      198    0.000    0.000    0.045    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typeinfer.py:1451(resolve_value_type)
       20    0.000    0.000    0.045    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\core\untyped_passes.py:225(run_pass)
     1436    0.001    0.000    0.045    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\runtime\nrtopt.py:74(_process_basic_block)
       20    0.000    0.000    0.043    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typed_passes.py:205(run_pass)
       62    0.000    0.000    0.043    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\codegen.py:191(add_linking_library)
    16988    0.011    0.000    0.043    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:16(register)
        9    0.000    0.000    0.042    0.005 C:\Users\migue\anaconda3\lib\site-packages\numba\np\npyimpl.py:230(_build_array)
      744    0.001    0.000    0.042    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:1238(_alloca_var)
      718    0.003    0.000    0.042    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:362(alloca_once)
32821/32731    0.019    0.000    0.040    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:54(get_reference)
     3457    0.006    0.000    0.040    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\builder.py:942(extract_value)
      378    0.000    0.000    0.040    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\passmanagers.py:122(run)
       33    0.000    0.000    0.039    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:736(lower_call)
      288    0.001    0.000    0.039    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\npydecl.py:171(generic)
      362    0.001    0.000    0.039    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:1305(alloca_lltype)
       20    0.000    0.000    0.038    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\core\untyped_passes.py:79(run_pass)
      296    0.002    0.000    0.038    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typing\npydecl.py:96(generic)
       20    0.001    0.000    0.038    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\core\interpreter.py:103(interpret)
       33    0.000    0.000    0.037    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:979(_lower_call_normal)
      368    0.001    0.000    0.036    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\lowering.py:1286(delvar)
       40    0.013    0.000    0.033    0.001 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\executionengine.py:138(_find_module_ptr)
     4897    0.002    0.000    0.033    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:577(list_vars)
       20    0.000    0.000    0.031    0.002 C:\Users\migue\anaconda3\lib\site-packages\numba\core\typed_passes.py:414(run_pass)
       91    0.000    0.000    0.030    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\ir.py:1468(infer_constant)
   109/91    0.000    0.000    0.030    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\consts.py:24(infer_constant)
      112    0.001    0.000    0.030    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\cgutils.py:99(__init__)
       41    0.000    0.000    0.030    0.001 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\binding\module.py:56(__str__)
     3457    0.005    0.000    0.030    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:623(__init__)
     5443    0.024    0.000    0.030    0.000 C:\Users\migue\anaconda3\lib\site-packages\colorama\ansitowin32.py:245(convert_osc)
       20    0.000    0.000    0.029    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\untyped_passes.py:1499(run_pass)
       34    0.000    0.000    0.029    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\errors.py:641(__init__)
  285/197    0.001    0.000    0.029    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\base.py:539(get_function)
    59/43    0.000    0.000    0.029    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\consts.py:56(_do_infer)
    16455    0.016    0.000    0.029    0.000 C:\Users\migue\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:24(deduplicate)
    70282    0.028    0.000    0.028    0.000 {method 'match' of 're.Pattern' objects}
      220    0.001    0.000    0.028    0.000 C:\Users\migue\anaconda3\lib\site-packages\numba\core\postproc.py:51(deadmaps)
       30    0.000    0.000    0.028    0.001 C:\Users\migue\anaconda3\lib\site-packages\numba\core\callwrapper.py:20(add_arg)
